prompt,response
"
I want to develop a first person driving VR game. I want to programmatically move the users' view without users moving. I found PerspectiveCamera API in RealityKit. How can I add a PerspectiveCamera in RealityView to simulate driving perspective and disable Vision Pro's default perspectiveCamera?
I have tried to add a PerspectiveCamera, but it was unworkable.
RealityView { content in
    let anchorEntity = AnchorEntity(world: [0, 0, 0])
    let sphereMesh = MeshResource.generateSphere(radius: 1.5)
    let sphereMaterial = SimpleMaterial(color: .white, roughness: 0.5, isMetallic: true)
    let sphereEntity = ModelEntity(mesh: sphereMesh, materials: [sphereMaterial])
    sphereEntity.position = [0, 2, -5]
    anchorEntity.addChild(sphereEntity)

    let camera = PerspectiveCamera()
    camera.position = [1, 4, 0]
    anchorEntity.addChild(camera)
    content.add(anchorEntity)
}

","
You can use a customized PerspectiveCamera on iOS and macOS if a cameraMode property is set to .nonAR (i.e. VR mode). However, visionOS does not yet have its own "".nonAR mode"" to activate a customized non-default PerspectiveCamera (even if you run a fully immersive experience).
@available(macOS 10.15, iOS 13.0, *)
@MainActor @preconcurrency 
public class PerspectiveCamera : Entity, HasPerspectiveCamera {

    @MainActor required public init()
}

"
"
I'm working on a VR project for HTC Vive Cosmos headset and have a huge problem with UI interactions.

I was able to configute XR Rig with both controllers (left and right) which have an XR ray interactor.
Canvas has Tracked Device Graphic Raycaster script and Graphic Raycaster
EventSystem has XR UI Input Module
There is an XR interaction Manager object in the scene with XR interaction manager script on it.

The project loads and I can see the rays representing both controllers, but when I try to interact with the UI button nothing happens.
What I tried:

I of course read a documentation from Unity to XR Interaction Toolkit, especially UI setup section.
I set raycast target off for all other UI elements that do not require interaction.
I checked if the buttons have ""interactable"" on.
I checked if there were some transparent UI elements that could be overlapping my buttons.

Nothing seems to be working and I got a feeling, the problem is not in UI elements, but in configuring the toolkit itself. Have you any ideas what can I check/change to make UI interactions work?
","
The problem is solved and it was more an attention error.
My controllers have an XR Ray Interactor and it has a property Max Raycast Distance (in Inspector -> XR Ray Interactor -> Raycast Configuration -> Max Raycast Distance).
So basically my UI Elements were too far for interactor to detect them. I altered the Max Raycast Distance value and everything now works perfectly.
"
"
Index Out of Range Bug
Ignore the camera warning.
I already clicked the warnings and it brought me to this code in Unity's XRPass script:
       public Rect GetViewport(int viewIndex = 0)
        {
            return m_Views[viewIndex].viewport;
        }

I don't even know what this is and it doesn't throw an error in Visual Studio.
","
It is a bug in new versions of Unity. When you click an object that has a renderer in play mode, an error shows up. The bug has been reported and will be fixed soon. You can check here until the bug is fixed: Bug
"
"
I was facing duplicate resources error on generating singed apk with react native by using @viro-community/react-viro in Viro3DObject when using objects & mtl files from local directory inside project or url.
Error shown in image

","
I was stuck to this error for almost a week and the solution i got was a small mistake done by me.
I was getting .OBJ & .MTL files from a directory name Modals and the names of files were as under
coralchair.mtl &
coralchair.obj

And I renamed one of file from them like this
coralchair.mtl
coralchairObject.obj

then
clean build 

Now Again generate signed APK using command line or android studio.
this thing resolved the error because while generating build both files were being used as resources and having same name of files was causing conflict.
"
"
I'm looking to create an interactable VR world of my low poly scene.
How would I achieve lighting similar to this in Unity?

I have found this on the Unity store.  Any help would be appreciated!
","
Also known as volumetric lighting =) 
You can find countless assets for achieving this, a lot of which are free and of high quality. 
The asset you linked is very expensive and if it is what you want to go for then great, but the price is set according to the amount of low poly 3D environments, textures, shaders, prefabs, demo scenes etc... not for the lighting.
If you only need volumetric lighting I recommend this free and great asset that will get you set instantly :
Volumetric Lighting Asset
It has great documentation but you can always follow this tutorial if you want a little extra visual help to get started :
YouTube Tutorial
Otherwise feel free to browse the asset store!
"
"
Apple just released visionOS SDK for creating Vision Pro apps. How can I run a react-native project on Apple Vision Pro?
","
Running your app on visionOS is just a matter of adding it as a supported destination.
Select your app target in your project’s settings and navigate to the General tab. In Supported Destinations, click the Add (+) button to add a new destination and select the Apple Vision option.

After that just select Apple Vision Pro (Designed for iPad) from you run destinations list and press run

"
"
After updating my meta quest 2 I cant move my hands in my unity project
I changed nothing to the project since the last time I tested it(when I could still move around)
and after my oculus quest 2 updated I suddenly couldn't move my arms in my unity project does anyone know what the problem could be and maybe how to fix it
","
i was able to solve it by going to the project settings and going to xr plug-in management and chaging the openxr to oculus
"
"
I'm developing a Unity VR game that utilizes 360 videos, featuring distinct perspectives for a worker and a driver. The driver's videos have been edited to primarily showcase the steering wheel and the front window. While testing within Unity's Playmode, both sets of videos play smoothly without any issues, including when using a VR headset.
However, upon building the game, I encountered a problem where the worker's videos continue to play as expected, but the video playback for the driver's edited videos experiences significant lag.
To address this, I attempted to adjust the display refresh rate specifically for Oculus devices with the following code, hoping it might alleviate the lag:
Unity.XR.Oculus.Performance.TrySetDisplayRefreshRate(90f);

Unfortunately, this adjustment did not result in any noticeable improvement. I've provided a link to the recorded footage to better illustrate the issue: https://imgur.com/a/WuqpEqE
Any suggestions on optimization techniques or adjustments to Unity or Oculus settings that could improve the performance of heavily edited 360 videos would be greatly appreciated.
","
If one set of videos is lagging while the other one is not, with the same video player, your files will be different.
Inspect them with VLC, I would suspect one of them is coded that hardware decodes on the Quest while the other is not. I have often encountered H265 being delivered for example.
That or the bitrate is wildly different. VLC will help you to find out both. Adjusting the refresh rate is not the correct way to go about this.
"
"
Do you know if there is any way to integrate Anylogic with a VR device to see the simulation run in VR? What type of software/methodology has worked for you?
","
Only possible as far as you can run any Windows application in VR (i.e. in ""cinema mode""). But there is no automated way to really ""visit"" your models in VR.
However, there may be some Java packages that could help, but it would be custom coding
"
"
I am using openXR to create a unity app for Oculus Quest.
I am trying to open a VR scene after the current AR scene. The AR scene is working fine, but then I call
SceneManager.LoadScene(""Room"", LoadSceneMode.Single);

and the new scene loads (I hear the sound from the new scene), but nothing is displayed.
At the same time, if I take the helmet off and put it back on, the VR scene starts working (maybe the presence sensor triggers some sort of helmet lifecycle, and when the lifecycle resets, it starts work).
Otherwise, if I move from a VR scene to an AR scene, everything works fine. Separately scenes run fine also.
I've tried calling before loading a new scene and call initialization on new scene, but that doesn't help.
XRGeneralSettings.Instance.Manager.DeinitializeLoader()

","
On an AR scene, before loading a new scene, you must call:
XRGeneralSettings.Instance.Manager.StopSubsystems();
XRGeneralSettings.Instance.Manager.DeinitializeLoader();
SceneManager.LoadScene(""Room VR"", LoadSceneMode.Single);

And then in the new single VR scene, call Start:
XRGeneralSettings.Instance.Manager.InitializeLoaderSync();
XRGeneralSettings.Instance.Manager.StartSubsystems();

"
